# format: infinitive, translation, then all forms

# irregular verbs
ser*;to be (definitive: name, country of origin, personal features);so<b>y</b>;<b>er</b>es;<b>es</b>;s<b>o</b>mos;s<b>o</b>is;s<b>o</b>n
estar*;to be (temporary: location, feelings, states);esto<b>y</b>;est<b>á</b>s;est<b>á</b>;estamos;estáis;est<b>á</b>n
tener*;to have (also age);ten<b>g</b>o;t<b>i</b>enes;t<b>i</b>ene;tenemos;tenéis;t<b>i</b>enen
decir*;to say / to tell;d<b>ig</b>o;d<b>i</b>ces;d<b>i</b>ce;decimos;decís;d<b>i</b>cen
hacer*;to do / to make;ha<b>g</b>o;haces;hace;hacemos;hacéis;hacen
saber*;to know / to taste;s<b>é</b>;sabes;sabe;sabemos;sabéis;saben
ver*;to see / to watch;veo;v<b>e</b>s;ve;vemos;v<b>e</b>is;ven
ir*;to go;voy;vas;va;vamos;vais;van
hay*;there is / are;h<b>e</b>;ha<b>s</b>;h<b>a</b>, ha<b>y</b>;h<b>e</b>mos;habéis;ha<b>n</b>


gustar;to like;;;<b>me/te/le/nos/os/les gusta</b>;;;<b>me/te/le/nos/os/les gustan</b>
encantar;to love;;;<b>me/te/le/nos/os/les encanta</b>;;;<b>me/te/le/nos/os/les encantan</b>

# -AR
hablar;to talk, speak;hablo;hablas;habla;hablamos;habláis;hablan
alquilar;to rent;alquilo;alquilas;alquila;alquilamos;alquiláis;alquilan
bailar;to dance;bailo;bailas;baila;bailamos;bailáis;bailan
buscar;to search;busco;buscas;busca;buscamos;buscáis;buscan
cantar;to sing;canto;cantas;canta;cantamos;cantáis;cantan
charlar;to chat/talk;charlo;charlas;charla;charlamos;charláis;charlan
estudiar;to study;estudio;estudias;estudia;estudiamos;estudiáis;estudian
reservar;to reserve;reservo;reservas;reserva;reservamos;reserváis;reservan
tomar;to have (food, drinks);tomo;tomas;toma;tomamos;tomáis;toman
trabajar;to work;trabajo;trabajas;trabaja;trabajamos;trabajáis;trabajan
